restaurant_name,email,phone,cuisine_type,address,google_rating,review_count,website,facebook,instagram,first_name,city
Dave & Buster's New Orleans,colleen_prina@daveandbusters.com,(504) 226-3300,Restaurant,"1200 Poydras St Unit 601, New Orleans, LA 70113",3.7,5066.0,https://www.daveandbusters.com/us/en/about/locations/new-orleans,https://www.facebook.com/daveandbusters,https://www.instagram.com/daveandbusters/?hl=en,Owner,New Orleans
IHOP,ahowart@restaurants.ihop.com,(504) 264-6875,Breakfast restaurant,"833 Canal St, New Orleans, LA 70112",3.4,4370.0,https://restaurants.ihop.com/en-us/la/new-orleans/breakfast-833-canal-st-3257?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=3257&utm_content=website,https://www.facebook.com/IHOP,https://www.instagram.com/ihop/,Owner,New Orleans
Krystal,shavenmfsf02@gmail.com,(504) 523-4030,Fast food restaurant,"116 Bourbon St, New Orleans, LA 70130",3.8,2686.0,https://locations.krystal.com/la/new-orleans/116-bourbon-street,,,Owner,New Orleans
Bar Pomona,info@barpomona.com,+1 504-224-9644,Restaurant,"2352 St Claude Ave, New Orleans, LA 70117, United States",5.0,59.0,https://barpomona.com/,,,Owner,New Orleans
Bodega New Orleans,info@bodega-nola.com,(504) 354-9878,Restaurant,"3633 Annunciation St, New Orleans, LA 70115",5.0,34.0,https://www.bodega-nola.com/,,,Owner,New Orleans
Urban Smash,hi@mystore.com,(504) 267-4852,Restaurant,"1645 Tchoupitoulas St A, New Orleans, LA 70130",5.0,22.0,https://urbansmash.co/,,,Owner,New Orleans
The Well Café at Spyre Center,casey@toasttab.com,,Health food restaurant,"1772 Prytania St, New Orleans, LA 70130",5.0,15.0,https://www.toasttab.com/wellcafeatspyre/v3/?mode=fulfillment,,,Owner,New Orleans
Taqueria Mi Frida,support@themenustar8.com,(504) 266-8847,Mexican restaurant,"3646 General De Gaulle Dr, New Orleans, LA 70114",5.0,12.0,http://ordertaqueriamifrida.mobile-webview8.com/,,,Owner,New Orleans
Good Karma Cafe,casey@toasttab.com,(504) 401-4698,Indian restaurant,"2940 Canal St, New Orleans, LA 70119",5.0,10.0,https://www.toasttab.com/good-karma-cafe-new,https://www.facebook.com/BurritoBros.2016/,https://www.instagram.com/nonglacafe,Owner,New Orleans
Good Yolk,hello@camoeats.com,(504) 702-6700,Restaurant,"Lobby, Hilton Garden Inn Hotel, 821 Gravier St 11th Floor, New Orleans, LA 70112",5.0,8.0,https://camoeats.com/brands/good-yolk,,https://www.instagram.com/camoeats,Owner,New Orleans
Vintage Garden Kitchen,nchefleo@vgknola.com,(504) 517-4845,Fusion restaurant,"201 St Charles Ave, New Orleans, LA 70170",5.0,4.0,http://www.vgknola.com/,,,Owner,New Orleans
PizzaForno,support@pizzaforno.com,(888) 652-0957,Pizza restaurant,"433 Bolivar St, New Orleans, LA 70112",5.0,2.0,https://pizzaforno.com/locations/pizzaforno-new-orleans-la-lsu-med,https://www.facebook.com/thepizzaforno,https://www.instagram.com/thepizzaforno,Owner,New Orleans
Taste & See Restaurant,tastenc@me.com,(504) 231-7128,Restaurant,"3439 Kabel Dr Suite 6, New Orleans, LA 70131",5.0,1.0,http://www.tasteandseepcs.com/,https://www.facebook.com/WordPresscom,,Owner,New Orleans
E'Co Vegan Cuisine (Online Ordering Online),ecovegan19@gmail.com,(567) 364-5955,Vegan restaurant,"Online Order Only, 2406 Peete St, New Orleans, LA 70115",4.9,66.0,http://www.ecovegan19.com/,https://www.facebook.com/EcoVegan19,https://www.instagram.com/ecovegan19/,Owner,New Orleans
Lost Coyote Restaurant,info@lostcoyotenola.com,+1 504-381-4829,Restaurant,"1614 Esplanade Ave, New Orleans, LA 70116, United States",4.9,34.0,http://www.lostcoyotenola.com/,,,Owner,New Orleans
Kelly's NOLA,hello@eatkellys.com,(504) 250-4722,Hamburger restaurant,"1177 Annunciation St, New Orleans, LA 70130",4.9,29.0,https://www.eatkellys.com/,https://facebook.com/beachhousemandeville,https://www.instagram.com/beachhousemandeville/,Owner,New Orleans
Baker Maid Products Inc,info@bakermaid.com,(504) 827-5500,Wholesale bakery,"2419 Julia St, New Orleans, LA 70119",4.9,17.0,http://www.bakermaid.com/,,,Owner,New Orleans
Oasis Food Hall,lareception@adr.org,(504) 702-6700,Chinese restaurant,"Lobby Hilton Garden Inn Hotel, 821 Gravier St 11th Floor, New Orleans, LA 70112",4.9,12.0,http://oasisnola.camoeats.com/,,https://www.instagram.com/camoeats/,Owner,New Orleans
Pere Antoine Restaurant,proteam@mopro.com,+1 504-581-4478,Restaurant,"741 Royal St, New Orleans, LA 70116, United States",3.9,1984.0,http://www.pereantoinefrenchquarter.com/,https://www.facebook.com/Pere-Antoines-446309132393965/,https://www.instagram.com/MoproTeam,Owner,New Orleans
Thanh Lien Kitchen,hi@mystore.com,(504) 430-7067,Vietnamese restaurant,"3440 Kabel Dr, New Orleans, LA 70131",4.8,90.0,http://thanh-lien-kitchen.square.site/,,,Owner,New Orleans
Tatlo,contact@tatlo.co,,Asian restaurant,"240 Bourbon St, New Orleans, LA 70112",4.8,86.0,http://tatlo.co/,,http://instagram.com/tatlonola,Owner,New Orleans
Opelousas Chicken & Seafood,opelousaschicken@gmail.com,+1 504-381-4294,Fast food restaurant,"6201 Franklin Ave, New Orleans, LA 70122, United States",4.8,85.0,https://www.opelousaschicken.com/,,https://www.instagram.com/opelousaschickenseafood,Owner,New Orleans
T-Swirl Crepe,tswirlcrepe@gmail.com,(504) 708-2009,Dessert restaurant,"4200 Magazine St, New Orleans, LA 70115",4.8,61.0,http://t-swirlcrepe.com/,https://www.facebook.com/tswirlcrepeny/?ref=page_internal,https://www.instagram.com/tswirlcrepe/,Owner,New Orleans
CupCake Fairies,order@cupcakefairies.com,(504) 333-9356,Cupcake shop,"2518 Bayou Rd, New Orleans, LA 70119",4.8,48.0,http://cupcakefairies.com/,https://www.facebook.com/112385370557225,https://www.instagram.com/cupcakefairiesnola,Owner,New Orleans
The Corner Oyster House,proteam@mopro.com,(504) 522-2999,Seafood restaurant,"500 St Peter, New Orleans, LA 70116",3.8,2047.0,http://www.corneroysterhousefrenchquarter.com/,https://www.facebook.com/cohnola,,Owner,New Orleans
Food Truck | Taquería Liliana,support@themenustar.com,(504) 535-8281,Mexican restaurant,"2200 Florida Ave, New Orleans, LA 70117",4.8,45.0,http://orderfoodtrucktaquerialiliana.mobile-webview2.com/,,,Owner,New Orleans
Étoile,etoileorleans@gmail.com,+1 504-582-9920,Restaurant,"3607 Magazine St, New Orleans, LA 70115, United States",4.8,36.0,https://www.etoileorleans.com/,https://www.facebook.com/etoileneworleans,https://www.instagram.com/etoile_orleans,Owner,New Orleans
Dong Phuong Restaurant,black9@qq.com,(504) 254-0296,Restaurant,"14207 Chef Menteur Hwy STE 1B, New Orleans, LA 70129",4.8,31.0,https://dongphuong.top/,,,Owner,New Orleans
The Kingsway,info@kingswaynola.com,(504) 506-9272,Restaurant,"4201 Magazine St, New Orleans, LA 70115",4.8,26.0,https://www.kingswaynola.com/,,,Owner,New Orleans
Le Moyne Bistro,brian@lemoynebistro.com,+1 504-350-1750,French restaurant,"746 Tchoupitoulas St, New Orleans, LA 70130, United States",4.8,15.0,https://lemoynebistro.com/,,,Owner,New Orleans
Yumi Sushi & Hibachi,johnsmith@kwickpos.com,(504) 345-2684,Sushi restaurant,"5163 General De Gaulle Dr STE N, New Orleans, LA 70131",4.7,90.0,https://yumisushihibachila.kwickmenu.com/index.php,https://www.facebook.com/yumisushihabachi?mibextid=LQQJ4d,https://instagram.com/yumisushihibachi?igshid=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,Owner,New Orleans
2 Phat Vegans,2phatvegans@gmail.com,(504) 239-7801,Restaurant,"3613 General Meyer Ave, New Orleans, LA 70114",4.7,89.0,http://www.2phatvegans.com/,,,Owner,New Orleans
Rosella,rosellamidcity@gmail.com,+1 504-766-6642,Restaurant,"139 S Cortez St, New Orleans, LA 70119, United States",4.7,85.0,http://www.rosellamidcity.com/,https://www.facebook.com/344227892101369,https://www.instagram.com/rosellamidcity,Owner,New Orleans
Barrilleaux's Restaurant and Wine Bar,sales@barrilleauxs.com,(504) 608-6390,Restaurant,"2000 Burgundy St, New Orleans, LA 70116",4.7,78.0,https://barrilleauxs.com/,https://www.facebook.com/420979088656856,https://www.instagram.com/barrilleauxs_restaurant,Owner,New Orleans
La Cocinita Restaurant NOLA,info@lacocinita.com,(504) 309-5344,Venezuelan restaurant,"4920 Prytania St, New Orleans, LA 70115",4.7,77.0,https://www.lacocinita.com/uptown,https://www.facebook.com/LaCocinitaNewOrleans,https://www.instagram.com/lacocinita/,Owner,New Orleans
Bub's NOLA (Grab & Go),bubsburgs@gmail.com,(504) 354-9643,Hamburger restaurant,"5031 Freret St, New Orleans, LA 70115",4.7,56.0,https://www.bubsnola.com/,,,Owner,New Orleans
The Little Italian Barrel Paninoteca,infolittleitalianbarrel@gmail.com,(504) 459-2947,Italian restaurant,"91 French Market Pl, New Orleans, LA 70116",4.7,55.0,http://thelittleitalianbarrel.com/,https://www.facebook.com/110859281788424,https://www.instagram.com/littlebarrelpaninoteca,Owner,New Orleans
Clyde's Corner,info@clydescornerneworleans.com,(504) 494-9478,American restaurant,"727 St Peter, New Orleans, LA 70116",4.7,49.0,http://clydescornerneworleans.com/,https://www.facebook.com/squarespace/,https://www.instagram.com/squarespace,Owner,New Orleans
Saint Claire,hello@saintclaire.me,(504) 766-9316,Restaurant,"1300 Richland Rd, New Orleans, LA 70114",4.7,40.0,https://www.saintclaire.me/,,https://www.instagram.com/saintclaire_neworleans/,Owner,New Orleans
Brosto Nola,brostonola@gmail.com,(504) 510-2761,American restaurant,"310 Carondelet St suite 330, New Orleans, LA 70130",4.7,35.0,http://www.brostonola.com/,,,Owner,New Orleans
Tanjariné Kitchen (Catering & Food Truck-Hours Vary ) Brick & Mortar UNDER RENOVATION,info@tanjarinekitchen.com,(504) 301-6954,Vegan restaurant,"UNDER RENOVATION, 3801 Washington Ave, New Orleans, LA 70125",4.7,19.0,https://www.tanjarines.com/,http://www.facebook.com/tanjarinenola,https://www.instagram.com/tanjarinenola/,Owner,New Orleans
The Original Italian Pie,support@owner.com,(504) 522-7552,Italian restaurant,"417 N Rampart St, New Orleans, LA 70112",3.9,1582.0,https://downtown.italianpie.com/?utm_source=google,https://www.facebook.com/TheOriginalItalianPieCBD/?locale=el_GR,https://www.instagram.com/cbdpie/?hl=en,Owner,New Orleans
The Green Fork,greenforkandstraw@gmail.com,(504) 267-7672,Restaurant,"1400 Prytania St, New Orleans, LA 70130",4.6,98.0,http://greenforknola.com/,https://www.facebook.com/814010402131214,https://www.instagram.com/Greenforkandstraw,Owner,New Orleans
Las delicias de honduras,accessibility@fromtherestaurant.com,,Honduran restaurant,"400 S Broad St Unit A, New Orleans, LA 70119, United States",4.6,82.0,https://lasdeliciasdehondurasla.com/,,,Owner,New Orleans
